Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Lane,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,Sample Name,source_name,SRA Study,Cell_Line,Temperature,Treatment,SAMPLE_TYPE
SRR13118470,OTHER,76,76270560,PRJNA680345,SAMN16878166,26532753,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560557,GSM4931984,NextSeq 500,1,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931984,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118471,OTHER,76,76402648,PRJNA680345,SAMN16878165,26833316,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560558,GSM4931985,NextSeq 500,2,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931985,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118472,OTHER,76,76706800,PRJNA680345,SAMN16878164,27140448,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560559,GSM4931986,NextSeq 500,3,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931986,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118473,OTHER,76,76843296,PRJNA680345,SAMN16878163,27181521,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560560,GSM4931987,NextSeq 500,4,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931987,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118474,OTHER,76,75356812,PRJNA680345,SAMN16878162,26216463,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560561,GSM4931988,NextSeq 500,1,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931988,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118475,OTHER,76,75598188,PRJNA680345,SAMN16878161,26532689,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560562,GSM4931989,NextSeq 500,2,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931989,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118476,OTHER,76,75723968,PRJNA680345,SAMN16878160,26811027,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560563,GSM4931990,NextSeq 500,3,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931990,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118477,OTHER,76,76159448,PRJNA680345,SAMN16878159,26916729,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560564,GSM4931991,NextSeq 500,4,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931991,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118478,OTHER,76,75625472,PRJNA680345,SAMN16878158,26293585,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560565,GSM4931992,NextSeq 500,1,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931992,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118479,OTHER,76,75380676,PRJNA680345,SAMN16878157,26453878,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560566,GSM4931993,NextSeq 500,2,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931993,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118480,OTHER,76,76099408,PRJNA680345,SAMN16878156,26911847,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560567,GSM4931994,NextSeq 500,3,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931994,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,mock,
SRR13118481,OTHER,76,75950676,PRJNA680345,SAMN16878155,26861475,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560568,GSM4931995,NextSeq 500,4,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931995,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,HCoV-NL63,
SRR13118482,OTHER,76,63127804,PRJNA680345,SAMN16878154,22073857,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560569,GSM4931996,NextSeq 500,1,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931996,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,HCoV-NL63,
SRR13118483,OTHER,76,62932028,PRJNA680345,SAMN16878153,22241163,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560570,GSM4931997,NextSeq 500,2,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931997,Huh-7.5 cells,SRP293819,Huh-7.5 cells,33,HCoV-NL63,
