Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Lane,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,Sample Name,source_name,SRA Study,Cell_Line,Temperature,Treatment,SAMPLE_TYPE
SRR13118614,OTHER,75,274961700,PRJNA680344,SAMN16878082,106838214,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560701,GSM4931904,NextSeq 500,1,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931904,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118615,OTHER,75,272944800,PRJNA680344,SAMN16878081,106909243,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560702,GSM4931905,NextSeq 500,2,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931905,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118616,OTHER,75,271318275,PRJNA680344,SAMN16878080,107093202,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560703,GSM4931906,NextSeq 500,3,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931906,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118617,OTHER,75,272348100,PRJNA680344,SAMN16878079,107575493,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560704,GSM4931907,NextSeq 500,4,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,A,GSM4931907,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118618,OTHER,75,236028525,PRJNA680344,SAMN16878078,91732674,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560705,GSM4931908,NextSeq 500,1,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931908,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118619,OTHER,75,230856300,PRJNA680344,SAMN16878077,90246959,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560706,GSM4931909,NextSeq 500,2,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931909,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118620,OTHER,75,232052475,PRJNA680344,SAMN16878076,91598285,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560707,GSM4931910,NextSeq 500,3,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931910,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118621,OTHER,75,229979475,PRJNA680344,SAMN16878075,90639058,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560708,GSM4931911,NextSeq 500,4,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,B,GSM4931911,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118622,OTHER,75,192211650,PRJNA680344,SAMN16878074,74944246,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560709,GSM4931912,NextSeq 500,1,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931912,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118623,OTHER,75,189234075,PRJNA680344,SAMN16878073,74401019,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560710,GSM4931913,NextSeq 500,2,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931913,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118624,OTHER,75,189095025,PRJNA680344,SAMN16878072,74924203,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560711,GSM4931914,NextSeq 500,3,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931914,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
SRR13118625,OTHER,75,189006975,PRJNA680344,SAMN16878097,74963926,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9560712,GSM4931915,NextSeq 500,4,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-11-25T00:00:00Z,C,GSM4931915,Huh-7.5 cells,SRP293765,Huh-7.5 cells,33,HCoV-229E,
