Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[genotype]	Characteristics[infect]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genotype]	Factor Value[infect]
Huh751_229E_GeckoA_replicate_1_S3_R1_001.fastq	ERS5135547	SAMEA7377107	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_229E_GeckoA_replicate_1_S3_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_229E_GeckoA_replicate_1_S3_R1_001.fastq	sequencing assay	ERX4582067	Huh751_229E_GeckoA_replicate_1_S3_R1_001.fastq.gz	Huh751_229E_GeckoA_replicate_1_S3_R1_001.fastq.gz	ERR4659251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/001/ERR4659251/ERR4659251.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E
Huh751_229E_GeckoA_replicate_2_S3_R1_001.fastq	ERS5135548	SAMEA7377108	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_229E_GeckoA_replicate_2_S3_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_229E_GeckoA_replicate_2_S3_R1_001.fastq	sequencing assay	ERX4582068	Huh751_229E_GeckoA_replicate_2_S3_R1_001.fastq.gz	Huh751_229E_GeckoA_replicate_2_S3_R1_001.fastq.gz	ERR4659252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/002/ERR4659252/ERR4659252.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E
Huh751_229E_GeckoB_replicate2_S4_R1_001.fastq	ERS5135549	SAMEA7377109	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_229E_GeckoB_replicate2_S4_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_229E_GeckoB_replicate2_S4_R1_001.fastq	sequencing assay	ERX4582069	Huh751_229E_GeckoB_replicate2_S4_R1_001.fastq.gz	Huh751_229E_GeckoB_replicate2_S4_R1_001.fastq.gz	ERR4659253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/003/ERR4659253/ERR4659253.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E
Huh751_229E_GeckoB_replicate_1_S4_R1_001.fastq	ERS5135550	SAMEA7377110	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_229E_GeckoB_replicate_1_S4_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_229E_GeckoB_replicate_1_S4_R1_001.fastq	sequencing assay	ERX4582070	Huh751_229E_GeckoB_replicate_1_S4_R1_001.fastq.gz	Huh751_229E_GeckoB_replicate_1_S4_R1_001.fastq.gz	ERR4659254	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/004/ERR4659254/ERR4659254.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus 229E
Huh751_ACE2-IRES-TMPRSS2_GeckoA_SARS-CoV-2_S3_R1_001.fastq	ERS5135551	SAMEA7377111	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Severe acute respiratory syndrome coronavirus 2	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_ACE2-IRES-TMPRSS2_GeckoA_SARS-CoV-2_S3_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_ACE2-IRES-TMPRSS2_GeckoA_SARS-CoV-2_S3_R1_001.fastq	sequencing assay	ERX4582071	Huh751_ACE2-IRES-TMPRSS2_GeckoA_SARS-CoV-2_S3_R1_001.fastq.gz	Huh751_ACE2-IRES-TMPRSS2_GeckoA_SARS-CoV-2_S3_R1_001.fastq.gz	ERR4659255	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/005/ERR4659255/ERR4659255.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Severe acute respiratory syndrome coronavirus 2
Huh751_ACE2-IRES-TMPRSS2_GeckoA_unselected_control_S1_R1_001.fastq	ERS5135552	SAMEA7377112	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library unselected	none	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_ACE2-IRES-TMPRSS2_GeckoA_unselected_control_S1_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_ACE2-IRES-TMPRSS2_GeckoA_unselected_control_S1_R1_001.fastq	sequencing assay	ERX4582072	Huh751_ACE2-IRES-TMPRSS2_GeckoA_unselected_control_S1_R1_001.fastq.gz	Huh751_ACE2-IRES-TMPRSS2_GeckoA_unselected_control_S1_R1_001.fastq.gz	ERR4659256	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/006/ERR4659256/ERR4659256.fastq.gz	genome-wide CRISPR KO library unselected	none
Huh751_ACE2-IRES-TMPRSS2_GeckoB_SARS-CoV-2_S4_R1_001.fastq	ERS5135553	SAMEA7377113	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Severe acute respiratory syndrome coronavirus 2	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_ACE2-IRES-TMPRSS2_GeckoB_SARS-CoV-2_S4_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_ACE2-IRES-TMPRSS2_GeckoB_SARS-CoV-2_S4_R1_001.fastq	sequencing assay	ERX4582073	Huh751_ACE2-IRES-TMPRSS2_GeckoB_SARS-CoV-2_S4_R1_001.fastq.gz	Huh751_ACE2-IRES-TMPRSS2_GeckoB_SARS-CoV-2_S4_R1_001.fastq.gz	ERR4659257	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/007/ERR4659257/ERR4659257.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Severe acute respiratory syndrome coronavirus 2
Huh751_ACE2-IRES-TMPRSS2_GeckoB_unselected_control_S2_R1_001.fastq	ERS5135554	SAMEA7377114	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library unselected	none	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_ACE2-IRES-TMPRSS2_GeckoB_unselected_control_S2_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_ACE2-IRES-TMPRSS2_GeckoB_unselected_control_S2_R1_001.fastq	sequencing assay	ERX4582074	Huh751_ACE2-IRES-TMPRSS2_GeckoB_unselected_control_S2_R1_001.fastq.gz	Huh751_ACE2-IRES-TMPRSS2_GeckoB_unselected_control_S2_R1_001.fastq.gz	ERR4659258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/008/ERR4659258/ERR4659258.fastq.gz	genome-wide CRISPR KO library unselected	none
Huh751_OC43_GeckoA_replicate2_S5_R1_001.fastq	ERS5135555	SAMEA7377115	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus OC43	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_OC43_GeckoA_replicate2_S5_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_OC43_GeckoA_replicate2_S5_R1_001.fastq	sequencing assay	ERX4582075	Huh751_OC43_GeckoA_replicate2_S5_R1_001.fastq.gz	Huh751_OC43_GeckoA_replicate2_S5_R1_001.fastq.gz	ERR4659259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/009/ERR4659259/ERR4659259.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus OC43
Huh751_OC43_GeckoA_replicate_1_S3_R1_001.fastq	ERS5135556	SAMEA7377116	Homo sapiens	adult	hepatocellular carcinoma	liver	hepatocyte	Huh7.5.1	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus OC43	cell	P-MTAB-101834	P-MTAB-101835	P-MTAB-101836	Huh751_OC43_GeckoA_replicate_1_S3_R1_001.fastq	SINGLE	PCR	GENOMIC	AMPLICON	P-MTAB-101837	CZ Biohub Genomics platform	Huh751_OC43_GeckoA_replicate_1_S3_R1_001.fastq	sequencing assay	ERX4582076	Huh751_OC43_GeckoA_replicate_1_S3_R1_001.fastq.gz	Huh751_OC43_GeckoA_replicate_1_S3_R1_001.fastq.gz	ERR4659260	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR465/000/ERR4659260/ERR4659260.fastq.gz	genome-wide CRISPR KO library under phenotypic selection	Human coronavirus OC43
