,sgRNA
0,[]
1,['ENSCSAG00000000619.1']
2,[]
3,[]
4,[]
5,['ZNF626']
6,[]
7,['ENSCSAG00000013508.1']
8,['ZNF470']
9,['CAPN6']
10,['CIAPIN1']
11,['OR2C3']
12,['NAV1']
13,"['ENSCSAG00000000734.1', 'ENSCSAG00000019575.1']"
14,['GNAL']
15,[]
16,[]
17,['OR5V1']
18,[]
19,[]
20,[]
21,['CENPU']
22,[]
23,"['ENSCSAG00000002658.1', 'ENSCSAG00000019503.1']"
24,[]
25,['WDR70']
26,['C9orf131']
27,['DHX32']
28,['SERPINI2']
29,[]
30,['UBD']
31,['FAM24B']
32,['ANKRD18B']
33,['TNIP3']
34,['CEP250']
35,[]
36,['AFM']
37,['MYOCD']
38,['IL22RA2']
39,['CYP7B1']
40,['SRPK2']
41,['SLC12A1']
42,['BRIX1']
43,['ARL14EPL']
44,[]
45,[]
46,[]
47,['ENSCSAG00000013471.1']
48,['KATNBL1']
49,['ENSCSAG00000018683.1']
50,['NRBP2']
51,[]
52,['STPG4']
53,[]
54,[]
55,[]
56,[]
57,['HOXC11']
58,['CENPL']
59,[]
60,['TRPC5']
61,['KIF3B']
62,['ZW10']
63,[]
64,[]
65,[]
66,['ENSCSAG00000017100.1']
67,['RNASE8']
68,['ATP2B1']
69,[]
70,['BNIP2']
71,[]
72,[]
73,['SLC25A13']
74,[]
75,[]
76,[]
77,[]
78,[]
79,['PARP2']
80,['FAM162A']
81,['ENSCSAG00000013008.1']
82,[]
83,[]
84,[]
85,[]
86,['ARHGAP32']
87,[]
88,[]
89,[]
90,[]
91,[]
92,['PVALB']
93,[]
94,[]
95,['CCDC172']
96,['CNTN4']
97,['PPP4R3B']
98,[]
99,[]
100,[]
101,['MFN1']
102,[]
103,[]
104,[]
105,[]
106,['FEZF1']
107,[]
108,[]
109,['ZNF302']
110,[]
111,['ENSCSAG00000005026.1']
112,[]
113,['ORC2']
114,[]
115,['SPCS3']
116,[]
117,['TMEM126A']
118,['DNAJB13']
119,[]
120,['HMGB2']
121,[]
122,[]
123,[]
124,['TLN2']
125,[]
126,['MRPL16']
127,['RAB11FIP2']
128,[]
129,['CCNT1']
130,[]
131,['ENSCSAG00000015309.1']
132,[]
133,[]
134,[]
135,[]
136,['ENSCSAG00000001438.1']
137,['TRAK1']
138,['SBDS']
139,[]
140,[]
141,[]
142,['NUP54']
143,['ZFP3']
144,[]
145,[]
146,[]
147,[]
148,[]
149,['ZFP2']
150,[]
151,['ZNF875']
152,[]
153,['MMP10']
154,[]
155,['USP38']
156,[]
157,['LIPI']
158,['UNC45B']
159,[]
160,['OR8A1']
161,[]
162,['HECTD4']
163,['TAS2R20']
164,[]
165,['MYOCD']
166,['ZNF804A']
167,['ZNF649']
168,[]
169,[]
170,['ENSCSAG00000018139.1']
171,['RBMS2']
172,"['ENSCSAG00000000600.1', 'ENSCSAG00000015323.1']"
173,['ENSCSAG00000014645.1']
174,['C15orf65']
175,['LYAR']
176,['LIPI']
177,[]
178,[]
179,['ENSCSAG00000002038.1']
180,['RGL1']
181,['ENSCSAG00000009404.1']
182,[]
183,['CYC1']
184,[]
185,[]
186,[]
187,[]
188,['PNMA3']
189,[]
190,[]
191,['CD46']
192,['NOLC1']
193,['IFIT1B']
194,['ALDH1A2']
195,['FAXC']
196,['RIBC1']
197,['RIBC2']
198,[]
199,['ITIH2']
200,[]
201,['KLHL4']
202,[]
203,['ITFG1']
204,[]
205,[]
206,['C4orf33']
207,['RBMS1']
208,['CCDC173']
209,['ENSCSAG00000014081.1']
210,['MDP1']
211,['H2BC1']
212,['GPRC5B']
213,['MTA3']
214,['UGP2']
215,['GRM6']
216,[]
217,['SLC22A23']
218,[]
219,['MRPS9']
220,[]
221,[]
222,[]
223,['ZFP62']
224,['CEP57L1']
225,['ENSCSAG00000000381.1']
226,[]
227,['DDX59']
228,[]
229,['COQ8A']
230,['ENSCSAG00000014468.1']
231,['TSGA10']
232,['ZMAT1']
233,[]
234,['ENSCSAG00000000342.1']
235,[]
236,[]
237,['TXNDC9']
238,['MCCC1']
239,[]
240,[]
241,[]
242,[]
243,['BSDC1']
244,[]
245,[]
246,[]
247,[]
248,[]
249,[]
250,[]
251,['AKAP3']
252,[]
253,['PPP2CA']
254,['BHMT2']
255,[]
256,[]
257,[]
258,[]
259,['PYHIN1']
260,[]
261,['DNA2']
262,[]
263,[]
264,"['NSA2', 'ENSCSAG00000018466.1']"
265,['NLRP3']
266,[]
267,['ACER3']
268,[]
269,['C7orf61']
270,[]
271,['PFDN4']
272,[]
273,['EEFSEC']
274,[]
275,['SMC6']
276,['MYO9B']
277,[]
278,['RNMT']
279,['UTP14C']
280,['PRXL2C']
281,['MOCS2']
282,[]
283,[]
284,['DNAJC2']
285,[]
286,[]
287,[]
288,[]
289,['ANKRD12']
290,['DDX53']
291,[]
292,['CALML4']
293,[]
294,['TOB1']
295,['PDAP1']
296,[]
297,['TMEM253']
298,['DNAJB9']
299,['STRAP']
300,[]
301,[]
302,[]
303,[]
304,[]
305,[]
306,[]
307,[]
308,['ALG13']
309,[]
310,['OPRM1']
311,['ENSCSAG00000019117.1']
312,[]
313,[]
314,[]
315,[]
316,[]
317,['LINGO2']
318,['SPTBN2']
319,[]
320,[]
321,['STK17A']
322,[]
323,[]
324,['CCDC18']
325,[]
326,[]
327,['SIRPG']
328,['SMIM21']
329,['IFI16']
330,[]
331,[]
332,[]
333,[]
334,[]
335,[]
336,[]
337,[]
338,[]
339,['TSGA13']
340,['CCDC152']
341,['ENSCSAG00000013867.1']
342,[]
343,['ANO6']
344,[]
345,['ENSCSAG00000013944.1']
346,[]
347,['IFT80']
348,[]
349,['LLPH']
350,[]
351,[]
352,[]
353,['PXYLP1']
354,[]
355,['CFAP97']
356,"['ENSCSAG00000015299.1', 'ENSCSAG00000018461.1']"
357,[]
358,[]
359,[]
360,[]
361,['ENSCSAG00000000124.1']
362,[]
363,['PARPBP']
364,[]
365,"['CBX1', 'ENSCSAG00000005232.1']"
366,['C9']
367,['ADAM9']
368,['ZNF528']
369,[]
370,[]
371,[]
372,[]
373,['ARIH1']
374,[]
375,['SMC1B']
376,[]
377,[]
378,['NANP']
379,['ENSCSAG00000003731.1']
380,[]
381,[]
382,[]
383,[]
384,['MITD1']
385,[]
386,[]
387,[]
388,[]
389,[]
390,['CNOT7']
391,[]
392,[]
393,[]
394,['TSPYL5']
395,[]
396,[]
397,[]
398,['ENSCSAG00000004469.1']
399,['FRMD4B']
400,['FRRS1L']
401,[]
402,['MKKS']
403,['ENSCSAG00000014955.1']
404,['CD5']
405,[]
406,[]
407,[]
408,['ISX']
409,[]
410,[]
411,['GJD2']
412,['PPP2R2A']
413,[]
414,[]
415,[]
416,[]
417,[]
418,['CHRNA3']
419,['CFAP97D1']
420,['IFNAR1']
421,[]
422,['RPL10L']
423,[]
424,['WDHD1']
425,['TUT7']
426,[]
427,['MFSD14B']
428,['AUH']
429,['CCDC158']
430,[]
431,['TIMM21']
432,[]
433,[]
434,[]
435,['KY']
436,[]
437,[]
438,[]
439,[]
440,[]
441,[]
442,[]
443,['GTF3C4']
444,['AP1S1']
445,[]
446,[]
447,['OLFML1']
448,[]
449,[]
450,['CFAP94']
451,[]
452,[]
453,['SNRPA1']
454,"['YWHAZ', 'ENSCSAG00000011560.1']"
455,[]
456,[]
457,['ASIC5']
458,['TEAD4']
459,['DNAJB6']
460,[]
461,[]
462,[]
463,[]
464,['TRIT1']
465,[]
466,[]
467,[]
468,[]
469,['MAP3K1']
470,['SAE1']
471,['CARF']
472,['TARBP2']
473,[]
474,['PRSS38']
475,[]
476,['CDKAL1']
477,['TECTA']
478,['FER1L6']
479,['ARHGEF7']
480,['GET4']
481,[]
482,['SRPX']
483,['ENSCSAG00000009720.1']
484,['CLGN']
485,[]
486,[]
487,[]
488,['EML4']
489,['ENSCSAG00000009834.1']
490,['SEMG2']
491,[]
492,['TNFAIP8L3']
493,[]
494,['NHLRC2']
495,[]
496,[]
497,['ENSCSAG00000006805.1']
498,['GULP1']
499,['UBE3A']
500,['BTK']
501,[]
502,['ZNF135']
503,[]
504,['ENSCSAG00000014894.1']
505,[]
506,['RB1']
507,['PSMG2']
508,[]
509,[]
510,['SSR4']
511,['DDX52']
512,['TSFM']
513,['ENSCSAG00000003514.1']
514,['ZNF471']
515,['CRISP2']
516,[]
517,[]
518,[]
519,[]
520,[]
521,[]
522,[]
523,['GDPD1']
524,[]
525,[]
526,[]
527,[]
528,['BANK1']
529,[]
530,['TXLNG']
531,[]
532,[]
533,[]
534,[]
535,[]
536,['MUC12']
537,['C2CD2']
538,[]
539,['DEPDC7']
540,['ENSCSAG00000018315.1']
541,[]
542,['HARS1']
543,[]
544,[]
545,[]
546,['UMODL1']
547,['OR5V1']
548,[]
549,['ENSCSAG00000005971.1']
550,['KIAA1522']
551,[]
552,[]
553,['ARMC1']
554,['ALKBH4']
555,[]
556,[]
557,['HTR1B']
558,[]
559,['SAMD9']
560,[]
561,['HSPA13']
562,['RAB6A']
563,['CAMSAP1']
564,[]
565,['CDC37L1']
566,[]
567,['TTYH2']
568,[]
569,['ENO2']
570,['CCDC25']
571,[]
572,['TRIM42']
573,[]
574,[]
575,[]
576,[]
577,[]
578,[]
579,[]
580,[]
581,['MANSC4']
582,['SACS']
583,[]
584,[]
585,['TMEM211']
586,['TAS2R9']
587,['IL18R1']
588,[]
589,['CDKN2AIP']
590,[]
591,['ENSCSAG00000004898.1']
592,['GOLT1B']
593,['ZNF728']
594,['ENSCSAG00000004898.1']
595,['ENSCSAG00000005578.1']
596,[]
597,[]
598,[]
599,[]
600,['SHLD2']
601,['ZFAT']
602,[]
603,[]
604,['ARPC5']
605,['ZNF354A']
606,[]
607,['PPM1E']
608,[]
609,[]
610,[]
611,['TMCO5A']
612,[]
613,[]
614,[]
615,['ZNF184']
616,[]
617,[]
618,[]
619,[]
620,[]
621,['PPIE']
622,['PYGL']
623,['OR10Z1']
624,['MCUB']
625,['CDC20']
626,['ESCO2']
627,['REXO5']
628,['MMAA']
629,[]
630,[]
631,[]
632,['ABHD4']
633,['LEUTX']
634,['TRAF7']
635,[]
636,[]
637,['GCM2']
638,[]
639,[]
640,[]
641,['PDE4DIP']
642,[]
643,['ENSCSAG00000007706.1']
644,[]
645,[]
646,[]
647,['B3GALNT1']
648,[]
649,[]
650,[]
651,[]
652,[]
653,['TMEM192']
654,['PCP2']
655,[]
656,[]
657,['SAMD3']
658,[]
659,['ABHD3']
660,[]
661,['AFDN']
662,['MS4A6A']
663,['ZNF229']
664,"['ENSCSAG00000000105.1', 'ENSCSAG00000010231.1']"
665,[]
666,['GUCA1ANB']
667,[]
668,['TCEAL7']
669,[]
670,['TMEM215']
671,[]
672,['KLB']
673,['DENND4A']
674,['TMEM156']
675,[]
676,[]
677,['NR1I2']
678,[]
679,[]
680,['RASGEF1B']
681,[]
682,[]
683,"['ENSCSAG00000014135.1', 'ENSCSAG00000014150.1']"
684,['OPTN']
685,['MLXIP']
686,[]
687,['ZNF57']
688,['CRTC1']
689,['POGLUT3']
690,[]
691,[]
692,[]
693,[]
694,[]
695,[]
696,['ENSCSAG00000013750.1']
697,[]
698,['MIER3']
699,[]
700,[]
701,[]
702,['ENSCSAG00000000647.1']
703,['STARD13']
704,[]
705,['GRAMD2B']
706,['ASCL1']
707,[]
708,['HNRNPDL']
709,[]
710,[]
711,['TAL2']
712,['HDGFL3']
713,['SLC7A2']
714,['SAFB']
715,['AGAP2']
716,['ADAMTS20']
717,['GNAT3']
718,[]
719,"['ENSCSAG00000013311.1', 'ENSCSAG00000013354.1', 'ENSCSAG00000013553.1']"
720,['WNT2']
721,[]
722,['RAB28']
723,[]
724,['CXXC1']
725,[]
726,['B3GALT2']
727,[]
728,[]
729,['TMEM236']
730,['ZFP36L1']
731,['WNT8B']
732,[]
733,[]
734,[]
735,[]
736,['FLOT2']
737,[]
738,['ENSCSAG00000009837.1']
739,[]
740,['CHCHD6']
741,[]
742,[]
743,['CHRNA6']
744,[]
745,['MKRN2']
746,[]
747,['REV1']
748,[]
749,[]
750,['SPATA32']
751,[]
752,[]
753,['RGS21']
754,[]
755,[]
756,['ENSCSAG00000015603.1']
757,[]
758,['ENSCSAG00000017880.1']
759,['EXOSC9']
760,[]
761,[]
762,[]
763,['HELQ']
764,['FNBP1L']
765,['ZNF691']
766,[]
767,[]
768,[]
769,['C8orf74']
770,['MZT1']
771,['SHOX']
772,[]
